=========================================================
    MATCHING ENGINE PERCENTILE PERFORMANCE JOURNAL
=========================================================
Tested Co Rank : 132 | Events in Slice:    9127 | P50 (Median):   71 cycles | P95:  150 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 133 | Events in Slice:   10276 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 134 | Events in Slice:    8892 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 135 | Events in Slice:    9632 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 136 | Events in Slice:    8866 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 137 | Events in Slice:    8266 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 138 | Events in Slice:    8368 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 139 | Events in Slice:    9200 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 140 | Events in Slice:    7984 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1132 cycles | Max:  758640 cycles
Tested Co Rank : 141 | Events in Slice:    7762 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1132 cycles | Max:  758640 cycles
Tested Co Rank : 142 | Events in Slice:    8452 | P50 (Median):   71 cycles | P95:  151 cycles | P99.9:  1132 cycles | Max:  758640 cycles
Tested Co Rank : 143 | Events in Slice:    6735 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 144 | Events in Slice:    7321 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 145 | Events in Slice:    8796 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 146 | Events in Slice:    7274 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 147 | Events in Slice:    8868 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 148 | Events in Slice:    6751 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 149 | Events in Slice:    7817 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 150 | Events in Slice:    8461 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 151 | Events in Slice:    8148 | P50 (Median):   71 cycles | P95:  152 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 152 | Events in Slice:    7804 | P50 (Median):   71 cycles | P95:  153 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 153 | Events in Slice:    8206 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 154 | Events in Slice:    7541 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 155 | Events in Slice:    7288 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 156 | Events in Slice:    7518 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 157 | Events in Slice:    6233 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 158 | Events in Slice:    7181 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 159 | Events in Slice:    6598 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 160 | Events in Slice:    7062 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 161 | Events in Slice:    7594 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 162 | Events in Slice:    7478 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1135 cycles | Max:  758640 cycles
Tested Co Rank : 163 | Events in Slice:    6810 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 164 | Events in Slice:    7407 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 165 | Events in Slice:    6932 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 166 | Events in Slice:    5884 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1134 cycles | Max:  758640 cycles
Tested Co Rank : 167 | Events in Slice:    5730 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1133 cycles | Max:  758640 cycles
Tested Co Rank : 168 | Events in Slice:    6512 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1132 cycles | Max:  758640 cycles
Tested Co Rank : 169 | Events in Slice:    6164 | P50 (Median):   71 cycles | P95:  154 cycles | P99.9:  1133 cycles | Max:  758640 cycles
